content,stars,title
"
Saya menginap disini dan saya suka sekali dengan kamarnya. Memberikan kenyamanan luar biasa. Fasilitas lumayan, hanya tidak ada sikat gigi nya. Wifi oke. Sarapan lumayan. Ac oke. Tidur jadi nyenyak. Terimakasih ibis
",4 dari 5 lingkaran,Lumayan
"
Sekali menginap di hotel ibis, sangat nyaman kamar mandi bersih.ranjang standar cukup besar. Pemandangan ke pusat ",3 dari 5 lingkaran,Bagus
"
Berkunjung ke Semarang memang sudah beberapa kali, dan tentu ingin suasana berbeda. Maka melalui travel agent saya mencoba hotel yang relatif baru di wilayah SIMPANG LIMA SEMARANG. Dengan membayangkan beberapa hal juga berbeda atau mendapatkan hal yang berbeda maka saya memilih HOTEL Dengan SIMBOL ATAU LOGO seperti JAM DINDING. Diawali dengan memasuki pelataran parkir hotel, terkesan parkir ini terlihat sempit sehingga perlu berhati hati agar BODY MOBIL tidak tergores. Kemudian akhirnya saya mendapatkan kamar di 2006. Setelah menuju lantai 20 dengan menggunakan kunci yang diberikan ternyata kunci tersebut tidak dapat berfungsi, sampai akhirnya turun kembali untuk meminta kunci, dan disarankan agar tidak dekat HP, alhasil sama saja kunci juga tidak berfungsi sehingga dialihkan ke kamar 2007. Namun hal ini dapat diantisipasi apabila ada public phone di setiap lantainya sehingga dapat berkomunikasi dengan RECEPTION tanpa harus bolak balik turun ke bawah. Lift yang ada pada hotel ini ada dua yang menghubungkan tiap lantai, Namun alangkah baiknya apabila ada lift tersendiri bagi ROOM BOY atau ROOM SERVICE, sehingga tidak menggangu pengunjung atau menimbulkan AROMA TERSENDIRI pada LIFT. Hotel Louis Kienne di simpang lima secara penampilan memang oke, namun itupun tidak cukup dalam NILAI KEPUASAN PELANGGAN. Semoga kedepan Jauh Lebih baik.
",3 dari 5 lingkaran,HOTEL BARU DI SIMPANG LIMA SEMARANG
"
Tidak menyangka hotel sebagus ini tarifnya masih masuk di kantong. Kamar cukup besar dan bersih. Pelayanan sangat ramah dan cepat. Fasilitas lengkap. Dekat dengan simpang lima yang ramai. Benar benar sesuai harapan. Sangat recommanded Hotel di Semarang.
",5 dari 5 lingkaran,Good Hotel
"
Disana enak,ada lift jadi saya ngak harus capek capek naik tangga.ada Internet corner jadi keluarga saya bisa make.Lokasinya strategis,deket sama Simpang Lima,jadi bisa jalan jalan tiap pagi dan malam.disekelilingnya juga ada banyak mall,jadi bisa sekalian belanja
",4 dari 5 lingkaran,Lumayan
"
Hotel ini cuman bagus dari segi harga dan lokasi. Tapi jelek hampir dari semua aspek. Pertama adalah masalah elevator, anda yang membawa orang tua dan anda menggunakan taxi atau diantar, anda akan kesusahan untuk menuju ke elevator, terletak di sub basement, dan anda harus menggunakan tangga, tidak ada ramp utk kursi roda. Lalu elevator juga payah sekali, cuman ada 2, pelan sekali, sering error, sering kita dibawa naik turun tidak jelas. Kedua, masalah kamar mandi, sangat licin utk org tua, tidak disediakan karpet anti slip. Air mandi di shower sangat pelan, air panas juga tidak konstan suhunya. Ukuran ranjang OK, besar, tapi kualitas kain sprei dan selimut sangat jelek, kasar. Ukuran kamar juga relatif kecil. Ketiga, kolam renang, airnya keruh. Ke empat, tempat breakfast sangat kecil, harus antri, jenis makanan juga sedikit. SAYA TIDAK AKAN RECOMMEND HOTEL INI KE ORANG LAIN, DAN TIDAK AKAN BALIK LAGI.
",1 dari 5 lingkaran,Hotel yang Parah
"
hotel baru di semarang. lokasi sangat strategis di kawasan simpang lima semarang. bangunan jadi satu sama apartemen. kamarnya lumayan luas. akses lift di belakang karena lift depan khusus penghuni apartemen. di seberang ada mall. tinggal jalan kaki ada kawasan kuliner simpang lima. di roof top ada kolam renang. view-nya kereen banget
",5 dari 5 lingkaran,kereeenn
"
Hotel ini sangat recommended sekali,..budget yg murah di tambah fasilitas nya yg tidak mengecewakan sama sekali akan tetapi kenapa hotel yg sebagus ini terdapat banyak sekali serangga ""tomcat"" dikamar?tentu nya hal tersebut sangat membuat kenyamanan tamu akan berkurang..mohon kedepannya ada tindak lanjut untuk masalah ini
",3 dari 5 lingkaran,Hotel yang recommended tapi...
"
Overall saya suka dengan hotel budget ini, harum, rapi dan bersih. Staffnya ramah. Makanannya cukup. Ada beberapa type kamar, twin, double dan Single. Fyi, yang sedang berpergian sendiri mending reservasi yg single room aja kamar ini untuk 1 orang. Cukup nyaman saya bermalam disini, thanks Whiz!
",3 dari 5 lingkaran,Recommended Budget Hotel! 
"
Kamar cukup besar dan nyaman, bersih serta fasilitasnya cukup memadai",4 dari 5 lingkaran,"nyaman, cocok untuk tujuan bisnis"
"
sebenarnya type konsep kamar ibis sudah tergambar jelas di memori kepala saya, bahkan sebelum saya memasuki hotel yang sedikit terlihat kurang ""fresh"" dari ibis2 yang pernah saya kunjungi. sebagai member platinum saya tidak dapat upgrade kamar yang lebih layak, dengan semua aminites yang menyedihkan, handuk usang, kran yang tidak lancar. sebenarnya, itu masih bisa di maklumi. ya namanya juga hotel bujet, tapi ketidak nyamanan fatal yang saya rasakan di hotel ini adalah ketika saya kehilangan uang di mobil, dan paginya saya syock ketika mobil saya tidak di kunci oleh seorang sopir valet. manajemen kurang responsif perihal keteledoran ini. dan input poin saya di creditkan ke akun accor saya juga setelah pihak hotel beberapa kali saya telpon dan saya ingatkan, dengan total poin yang sangat minim (sepertinya salah hitung) sudah lambat pelit ngasih poin! overall BIG BAD! saya meningap awal oktober 2015. member accor plus platinum saya :3084096799884300 atas nama : rofek afendhi. silahkan hub saya jika tidak berkenan dengan komentar saya.
",1 dari 5 lingkaran,"sebagai pemegang kartu member accor plus platinum selama hampir 3 tahun, ini IBIS terparah yang pernah saya kunjungi"
"
Terletak di Jalan Gajah Mada yang tsrategis, Hotel Ibis menawarkan akses yang mudah untuk menjangkau beberapa icon kota semarang seperti jl Pandanaran dan Lapangan Simpang lima. ",4 dari 5 lingkaran,Hotel dengan akses mudah
"
Hotel yang strategis dan dekat dengan simpang lima, dekat dengan mal, tempat makan dan mini market. Overall ok. Untuk menu makanan perlu variasi lebih banyak lagi. Perlu diperbaiki scanner di lift karena sudah banyak tamu yang susah untuk memencet tombol lift karena kartu yang tidak terdeteksi. Untuk parkiran perlu diperluas.
",4 dari 5 lingkaran,Hotel yang strategis
"
Lokasi yang cukup strategis dekat pusat keramaian malam minggu. Memang ini bukan hotel yang Anda datangi kalau Anda mau bermewah- mewah ria, tapi dengan harga yang layak, kamar yang saya dapatkan sangat bersih dan nyaman. Kasur dan AC baik, air hangat lancar.",4 dari 5 lingkaran,Hotel nyaman dengan harga sepadan
"
hotelnya rapih, bersih, terletak di pusat kota. dekat dengan lokasi wisata dan mall. pelayanan hotel ramah, kamar mandi bersih tidak bau. namun tempat parkirnya sempit. kamar terlalu kecil namun view nya bagus pemandangan kota semarang dari lantai 5.
",4 dari 5 lingkaran,hotel dengan harga murah berkualitas
"
Hotel dekat dengan pusat perbelanjaan dan mall, cukup dengan berjalan kaki. Akses ke hotel juga mudah karena terletak di kawasan simpang lima. Secara keseluruhan hotel cukup baik walaupun untuk space parkirnya nya agak kurang luas, namun dengan adanya valet gratis dari hotel memudahkan untuk memarkir kendaraan.
",4 dari 5 lingkaran,Hotel dekat dengan Mall dan pusat perbelanjaan...
"
Lokasi yang strategis di deket simpang lima menjadi nilai lebih hotel ini, berada sekitar 150 meter-an dari simpanglima semarang,",3 dari 5 lingkaran,Hotel di Daerah Simpang Lima Semarang
"
Nyaman menginap disini . Di pusat kota semarang dan view yang bagus. Tak kecewa kalau ada job lagi disini sudah banyak reverensi tempat asik disini. Sebulan tidak cukup untuk explore semarang. See u semarang
",4 dari 5 lingkaran,Kenangan di semarang
"
booking 3 kamar via telfon, pelayanan ramah dan sangat membantu (nilai 9 dari 10)",2 dari 5 lingkaran,hotel bintang lima rasa kaki lima!
"
Inilah pertama kali saya mendapatkan kamar hotel yang terbilang cukup sempit walaupun tempat tidurnya sangat nyaman.",1 dari 5 lingkaran,"Kamar sempit, parkir sempit"
"
Saya liburan tgl 4 juni kemarin ..hotelnya baru bagus dan bersih.rooftopnya keren bisa langsung melihat alun alun simpang lima..staff yang ramah .",4 dari 5 lingkaran,Hotel yang keren..
"
Hotel dekat kota",3 dari 5 lingkaran,Lumayan
"
Dri luar hotel tampak megah.dan terletak di kawasan simpang lima yg strategis...saya g tau ini hotel bintang berpa .tapi pelayanan cek in sangat tidak cepat terkesan lambat.lift terdapat di belakang .",3 dari 5 lingkaran,Its oke lumayan saja 
"
Hotel baru di Simpang Lima. Praktis dan strategis. Letaknyayg di tengah kota membuat penginap bisa menikmati icon Kota Semarang dengan mudah. Kuliner di sekitar simpag lima sangat mudah dijangkau. Hotel sejenis apartemen yg bersih.Ke bandara tidak sampai 30 menit.Layak dicoba.
",3 dari 5 lingkaran,Hotel strategis
"
Menginap disini saat weekend dan termasuk salah satu hotel yang murah di lokasi tengah kota Semarang. Lokasinya di seberang Mall Paragon, dekat dengan sebuah gereja, lumayan dekat dekat dengan Lawang Sewu (jalan kaki kurang lebih 10 menit).Jangan lupa mampir untuk makan Mie Godhok di depan Mall Paragon ! Enak & murah (tapi saya lupa namanya).",4 dari 5 lingkaran,"Lokasi strategis, murah"
"
Kalau dibandingin sama Jkt dan bdg ya emang beda ya. Ini budget hotel selain murah, luas kamarnya. Recommend buat keluarga. ",5 dari 5 lingkaran,Budget hotel di Semarang yg highly recommended
"
Pertama kali kesan saya datang ke whiz hotel adalah wow tempatnya sangat dekat dengan stasiun kereta api poncol atau tawang . letak yg strategis adalah hal yg paling penting buat saya untuk sebuah perjalanan . karena letak hotel yg strategis membantu menghemat waktu dan tenaga. Pertama datang pukul 8 pagi saya tidak lgsg check in krna baru bisa pukul 12 . saya konfirmasi pemesanan kamar dan tentunya menitipkan barang sampai pukul 12 siang saya datang kembali dan memberikan deposit uang sebesar 30 ribu yg dikembalikan ketika check out. pelayanan dari staff ramah dan membantu dengan cepat tamunya. Hotel ini terbilang kecil atau lbh tepatnya sangat minimalis . saya dapat kamar di lt 9 dan yg paling penting adalah bersih .view kamar bagus lgsg menghadap jalan kota semarang . sendal , air mineral, sikat gigi dan odol diberikan , tv pun berfungsi dng baik. hanya saja handuknya tidak bagus krna terlihat sudah robek2 dan sudah lama . tidak ada pengering rambut dan tdk ada lemari . fasilitas yg kurang menurut saya adalah ac kurang dingin dan wifi tidak bisa dipakai . saya sudah lapor staff , dan mreka membantu dng cepat namun tak ada hasil untuk memberikan wifi. Jika ingin minum kami harus ke lt bawah karna dispenser hanya disediakan di 1 lt . seharusnya bisa disediakan disetiap lantai agar tak jauh ke bawah . secara keseluruhan menginap dihotel ini nyaman dan bagus untuk didatangi jika saya datang kembali ke semarang krna letak nya yg strategis dekat ke toko oen , jln pandanaran, tempat wisata lawang sewu , kota tua dan tentu saja didepannya ada mall . harapan saya hanya yg kurang perlu segera diperbaiki lagi dan ditingkatkan lagi . sangat bagus untuk direkomendasikan .
",4 dari 5 lingkaran,Minimalis dan strategis
"
Saya menginap di hotel ini saat saya berkunjung ke Semarang pada bulan Agustus 2015. Fasilitas kamar dan hotel sangat bagus dengan harga yang cukup murah untuk traveller seperti saya. Sangat rekomendasi
",5 dari 5 lingkaran,Excellent service
"
Kamarnya gak bersih, sempit, fasilitasnya juga minim kalau untuk singgah sebentar ya gpp. Yang bikin lebih buruk adalah pelayanan di front office yang sama sekali tidak ramah dari awal sampai check out. Nilai plus dari hotel ini pada sarapannya yg variatif dan rasanya.
",1 dari 5 lingkaran,Sangat tidak memuaskan
"
Lokasi dekat dengan simpang lima,mudah mencari makanan disekitar hotel ini. ada lombok idjo dan makanan kuliner di simpang lima. didepan hotel juga banyak yang jualan jajanan. pelayanan ramah dan makan pagi yg lumayan
",4 dari 5 lingkaran,Good Location
"
Price tidak sesuai dgn fasilitas...lay out tata ruang benar2 buruk...",2 dari 5 lingkaran,Unworthy
"
Secara keselurahan tampilan hotel bersih karena masih baru. Dari front desk sampe pool keren dan wangi...semua furniture bagus dan keren. Tapi begitu masuk kamar mengecewakan.... kamar tidak sesuai tampilan di web traveloka, Sempit. Tidak ada kulkas.peralatan mandi sangat minim...dan kamar mandi sempit. karena kebetulan saya di lt 6 jd view kurang bagus. Jendela kamar kecil tdk spt hotel berbintang lainnya. Apalagi pas makan pagi.. menu sangat sederhana spt masakan rumah di menu utamanya... tidak sebanding dengan harganya. Kopi.teh.omelt dll tdk tersedia.susu dan jus abis juga tdk lsg dijog or ditambahi. Istilah jawa nya kurang ngajeni heheh... ditambah ruang makan yg super sempit. Mungkin hotel masih baru dan belum maksimal pelayanannya. Tapi jika dibandingkan dg group accor or bestwestern jauhlah hehe.... semoga kedepannya lbh mengutamakan kepuaasan pelanggan daripada mentereng di gedungnya saja.
",3 dari 5 lingkaran,Pelitttt
"
Kami sekeluarga menginap pada tgl 5 maret menginap di hotel ini dan terkesan dengan suasana hotel yg masih baru. Tidak seperti hotel pada umumnya, utk memasuki kamar kami harus menuju lift yg berada agak jauh dari lobby. View dari kolam renang di lantai 23 cukup bagus di pagi hari karena langsung terlihat suasana di simpang lima. Dan untuk menuju ruang makan utk sarapan pun kita harus berpindah lift, sebenarnya agak kurang praktis. Tetapi keramahan dan pelayanan di hotel ini patut diacungi jempol. Juga saat anak saya lupa dengan gadget tablet sehingga tertinggal di kamar waktu cek out. Kami telpon pihak hotel dan dapat ditemukan serta disimpan utk dapat kami ambil beberapa waktu kemudian. Pertahankan dan tingkatkan kualitas pelayanannya, pasti makin sukses.
",4 dari 5 lingkaran,nice hotel
"
Ketika saya check in di hotel ini, hotel ini masih terasa baru.",3 dari 5 lingkaran,Hotel Baru di lokasi premium
"
Hotel ini sangat strategis di lokasi simpang lima, ambience lobby yang nyaman namun kecil dan sempit jika check - in hanya 1 dan 2 orang masih terasa nyaman. proses check - in yang cepat pelayanan yang ramah, lokasi lift lobby yang ada di B1 membuat sedikit aneh walaupun aisle menuju lift tamu cukup nyaman dengan dekorasi yang terkesan mewah. Kamar masih sangat baru dan bersih dengan tempat tidur yang nyaman dan tv 40 inch yang bagus namun terlalu besar. Kelemahan hotel ini menurut saya di kamar mandi yang tidak nyaman sama sekali karena kecil, walaupun bersih. Toilet amenities yang minim untuk ukuran 4 stars hotel hanya Tooth brush dan hand soap saja. Untuk view top floor di 23 sangat bagus, dan swimming pool yang unik dan bagus.
",3 dari 5 lingkaran,Hotel yang tepat untuk Short Trip
"
Hotel baru di kawasan Simpang Lima.",3 dari 5 lingkaran,Lokasi Strategis
"
Hotel baru di kawasan simpang lima, sangat strategis yang ingin berlibur di semarang dekat dengan pusat kuliner dan oleh2, karena ini hotel masih baru dan perabotnya masih bagus2 dan bersih hanya saja kamar nya untuk ukuran bintang 4 sangat sempit, kamar mandi juga tidak ada tirai atau penutup sehingga air rembes kemana2, untuk sarapan kutang variasi dan sangat sempit restoranya seperti masih ada seadanya, agak ribet menuju tempat saraapan karena mesti pindah lift, untuk best view adalah di rooftop ada kolam renang dengan pemandangan simpang lima.
",4 dari 5 lingkaran,Rooftopnya keren
"
View sky pool nya keren, bisa lsg keliatan pemandangan simpang lima dr ketinggian. Kamar nya bersih tapi sayang cukup sempit untuk harga segitu. Karna masih baru juga kayaknya jd compliment nya jg masih seada nya
",4 dari 5 lingkaran,Sky pool nya keren
"
Tempatnya bersih, staffnya ramah, view di roof top WOW.",5 dari 5 lingkaran,Super wifi speed
"
Ketika saya datang disini, hotelnya sangat baru. Namun, lobbynya sangat kecil. Karena ini dibagi sama Apart maka lift untuk hotel berada di belakang. Kamarnya kecil. Nah, ketika saya mandi dan lain sebagainya, kamar mandinya sangat kecil. Untuk room service memang belum ada menu di kamar, tetapi menunya bisa dipesan dan diantar. Tetapi, saya rekomendasikan untuk makan malam diluar karena jarak hotel ini sangat dekat dengan Mall Ciputra yang berjarak 500m saja. Ketika sarapan, menunya juga tidak banyak sehingga harus menunggu untuk makan. Saya meminta untuk di perbaiki supaya ke depannya bisa lebih baik lagi dan sanggup untuk menerima tamu berikutnya.
",4 dari 5 lingkaran,Baru tapi kecil. 
