city,hotel_locality,reviewer_location,hotel_url,reviewer_id,title,reviewer_level,content,hotel_address,hotel_classs,hotel_review_stars,reviewer_name,hotel_review_qty,review_stars,hotel_name
Semarang,"Semarang 50232, ",Denpasar,https://www.tripadvisor.co.id/Hotel_Review-g297712-d5511170-Reviews-Oak_Tree_Emerald_Semarang_Hotel-Semarang_Central_Java_Java.html,UID_6FBD01E91B5B33DC93D39EE00C7696F2-SRC_382714368,Sesuai dengan harga ,lvl_04,"Lokasi cukup ekstrim naik turun berliku di dalam perumahan mewah.. kamar oke, sekitar kamar kotor tak terawat.. terkesan kumuh dan jorok.. konsep hotel yg setengah jadi, semen tambal sulam jadi kelihatan kumuh.. sarapan kurang variasi, makanan udh dingin padahal masih pagi.. saat check in sudah sore tp kamar blm siap dan nunggu lama.. its ok lah untuk jauh dr kebisingan kota.
","Jl. Palm – Papandayan, Gajahmungkur",4.0 dari 5,4.0 dari 5 lingkaran,ChubbyDulz,226 Ulasan,3 dari 5 lingkaran, Oak Tree Emerald Semarang Hotel 
Semarang,"Semarang 50242, ",jepara,https://www.tripadvisor.co.id/Hotel_Review-g297712-d3160468-Reviews-Grand_Saraswati_Hotel-Semarang_Central_Java_Java.html,UID_BE43DDD4BC3E9CF58FDB095E207BADA0-SRC_169817724,Serasa berada di rumah sendiri,lvl_02,"saat berada di Semarang, untuk mendapat istirahat yang cukup dengan harga yang terjangkau, hotel ini menawarkan lokasi yang bagus. Bukan berada di pusat kota namun mudah untuk menjangkau pusat kota. Untuk perjalanan bisnis sangat direkomendasikan untuk membatasi budget (terutama perjalanan bisnis wiraswasta). Tersedia air panas dan TV Kabel untuk menemani istirahat kita, dipandu dengan pelayanan yang ramah, membuat seolah saya sedang berada di rumah.",Jln. Singosari 81,,3.0 dari 5 lingkaran,karimunjawa_island,8 Ulasan,4 dari 5 lingkaran, Grand Saraswati Hotel 
Semarang,"Semarang 50134, ","Yogyakarta, Indonesia",https://www.tripadvisor.co.id/Hotel_Review-g297712-d5313767-Reviews-HOM_Hotel_Semarang-Semarang_Central_Java_Java.html,UID_95FBC8CCBFB44889328095B38F923030-SRC_395083625,Lokasi Prima,lvl_01,"Ini ulasan saya setelah menginap dua malam di Hotel Hom yang lokasinya sangat strategis, dekat Simpang Lima. Saat saya check in saya ditawari upgrade ke kamar deluxe yang lebih luas, saya dilayani dengan baik oleh front office dan saya mendapat kamar 1102 dilantai 11. Saat masuk kamar semua nya rapi dan bersih, tatanan baik, desain kamar bagus. Pemandangan dari jendela langsung melihat pemadangan Simpang Lima, dan dari sisi depan melihat arah pemadangan kota Semarang. Disaat makan pagi kami ditawari teh atau kopi dan juga layanan egg station yang ada pilihan omlet, dadar atau telur mata sapi. Makanan ala buffet cukup bervariasi, ada soto, bubur ayam, nasi goreng, bakmi goreng dan berbagai jenis roti. Saya suka soto ayam ciri khas Semarang. Selama dua hari tidak ada masalah, hanya parkir kendaraan sedikit sulit. Taxi sangat mudah , terdapat taxi standby didepan hotel. Harga hotel menurut saya ekonomis dengan fasilitas dan lokasi yang baik. Semoga layanan hotel Hom dapat dipertahankan dan akan selalu menjadi pilihan saya di kota Semarang.",Jl. Pandanaran 119,3.5 dari 5,4.5 dari 5 lingkaran,prielaks,355 Ulasan,5 dari 5 lingkaran, HOM Hotel Semarang 
Semarang,"Semarang 50134, ","Tangerang, Indonesia",https://www.tripadvisor.co.id/Hotel_Review-g297712-d5313767-Reviews-HOM_Hotel_Semarang-Semarang_Central_Java_Java.html,UID_A7C9CB0FF6CF7058981EA5E4AE12F71B-SRC_395359929,Hotel Budget dengan fasilitas bintang,lvl_01,"Tidak seperti hotel budget lainnya, saya impress dengan layanan Hom Hotel, ketika kami datang ada porter yang membantu koper kami. Dan koper terkirim ke kamar setelah kami check in. Saat check in juga dilayani dengan friendly, dan cepat, dalam hitungan menit kami sudah berada dikamar dengan koper koper kami.
Kamar nya cukup nyaman, ac dingin, shower keras, perlengkapan amenities tersedia. Room service kami pesan nasi goreng special, lumayan enak dan harga nya tidak mahal.
Hotel tidak dilengkapi kolam renang, namun ada layanan spa dikamar.
Saat check out kami ditawari antaran ke bandara gratis. Menurut saya ini istimewa untuk ukuran hotel budget.",Jl. Pandanaran 119,3.5 dari 5,4.5 dari 5 lingkaran,andresugijo,355 Ulasan,5 dari 5 lingkaran, HOM Hotel Semarang 
Semarang,"Semarang 50134, ","Jakarta, Jakarta Raya, Indonesia",https://www.tripadvisor.co.id/Hotel_Review-g297712-d5313767-Reviews-HOM_Hotel_Semarang-Semarang_Central_Java_Java.html,UID_E6D2092BEA2AC3FD58AB2119CAD59E05-SRC_395770666,Hotel yg sesuai dengan kebutuhan,lvl_03,"perjalanan darat jkt-mlg kami tempuh dan transit di semarang, kami menginap d @hom hotel dengan keramahan & pelayanan yg baik dari semua staff hotel,kamar yg sesuai ,kamar mandi bersih dan juga sarapan yg enak kami dapatkan, ditambah lokasinya yg cukup dekat dengan alun2 semarang, cuma sayang jendela kamar kami hanya dapat view dinding gedung.",Jl. Pandanaran 119,3.5 dari 5,4.5 dari 5 lingkaran,Ferdi85,355 Ulasan,4 dari 5 lingkaran, HOM Hotel Semarang 
Semarang,"Semarang 50134, ","Karawang, Indonesia",https://www.tripadvisor.co.id/Hotel_Review-g297712-d5313767-Reviews-HOM_Hotel_Semarang-Semarang_Central_Java_Java.html,UID_CED07B7069D7BCCE083AF35F8D602AB8-SRC_397121938,"@HOM Hotel Semarang, kenyamanan di tengah pusat kota Semarang",lvl_03,Lokasinya yang dekat dengan pusat kota dan dengan kamar yang cukup nyaman....sangat cocok menjadi pilihan yang tepat untuk menginap saat menghabiskan akhir pekan di Semarang. Memiliki tea house yang terletak di lobby sehingga membuat pengunjung bisa bersantai sejenak saat menunggu waktu check in atau check out.,Jl. Pandanaran 119,3.5 dari 5,4.5 dari 5 lingkaran,dhilaaaaa,355 Ulasan,4 dari 5 lingkaran, HOM Hotel Semarang 
Semarang,"Semarang 50132, ","Palembang, Indonesia",https://www.tripadvisor.co.id/Hotel_Review-g297712-d2035261-Reviews-Hotel_Dafam_Semarang-Semarang_Central_Java_Java.html,UID_75A329CAA828684377A1ABA21DEFF0ED-SRC_323104477,"Tempatnya asik, nyaman, dan damai",lvl_03,"Saya seringkali nginep di hotel ini kalo ada urusan bisnis di Semarang.
Karena lokasinya relatif sangat dekat dengan kantor perwakilan yang disono.
Pelayanannya oke lah... sarapannya juga enak.
Cuma kendalanya agak jauh klo mau ke masjid",Jln. Imam Bonjol 188,3.0 dari 5,3.5 dari 5 lingkaran,azizmansya,167 Ulasan,4 dari 5 lingkaran, Hotel Dafam Semarang 
Semarang,"Semarang 50132, ",Yogyakarta,https://www.tripadvisor.co.id/Hotel_Review-g297712-d2035261-Reviews-Hotel_Dafam_Semarang-Semarang_Central_Java_Java.html,UID_17FD60714A9C08FB69E5C9A6C307540B-SRC_323036699,"konsep menarik perhatian, hanya perlu peningkatan service & hospitality",lvl_06,"sebagai penulis buku travelling dan hotel directory, saya tidak sabar menorehkan pengalaman masa tinggal singkat saya di hotel yang berlabel bintang 4 ini. saya mulai cerita dari pertama kali saya membuka pintu mobil saya. mungkin ada beberapa pengalaman tidak mengenakan sekaligus menggemaskan, barangkali karena terbiasa dengan layanan accor yang mendekati paripurna & sudah hampir 3 tahun memegang member accor plus platinum, jadi saya sangat peka sekali dengan yang namanya service dan hospitality. sebenarnya yang membuat saya bingung adalah, standart mereka yang seperti itu atau memang ketika itu saya sedang APES!? jadi ketika saya tiba persis didepan pintu hotel, jangankan di bantuin buka pintu mobil saya, penjaga pintu saja tidak ada, saya harus menenteng 4 item barang bawaan saya seorang diri, sampai di depan FO, dan saya melihat 2 orang receptionist yang tanpa ekspresi menyambut muka kelelahan saya. oke saya dapatkan kunci kamar executive room di lantai 6. konsep kamar cukup menarik perhatian saya, hanya saja saya cuma dapat rain shower (sedih) saya sering mendapatkan bath up di hotel bintang 4 di kamar type terbawah sekalipun, biasanya saya memang ada sedikit aktifitas ketemu partner bisnis saya ketika di hotel, tapi itupun tidak lama, biasanya sisa waktunya saya gunakan untuk meng optimalkan fasilitas yang di miliki hotel. tapi apa yang terjadi di dafam, saya tidak bisa menikmati satupun fasilitas yang biasanya saya lakukan di hotel lain. saya aktif olahraga, dan disini saya hanya menemukan 3/4 alat fitnes yang sama sekali tidak memenuhi kebutuhan saya, tempat fitnesnya menyatu dengan SPA, akhirnya saya putuskan untuk tidak fitnes, bahkan ketika saya memutari area hotel, saya tidak menemukan kolam renang di hotel ini. ini benar bintang 4 ? bahkan layanan kamar juga sangat standart sekali. ke apesan saya tidak berhenti di sini saja, karena tidak ada fasilitas yang bisa saya nikmati akhir nya saya putuskan keluar hotel, dan apa yang terjadi ketika saya pulang ke hotel, rupanya sedang ada event, hadehhh, mobil saya tidak bisa masuk hotel, parkir bassemant penuh. ditutup! saya heran sama kebijakan hotel ini, mereka lebih mementingkan tamu event, dan saya tidak menemukan satpam atau petugas parkir dalam jangkauan mata saya, saya putar2 hingga 5x sampai nunggu parkir bassemant di buka, tapi itupun saya di bukakan setelah saya minta bantuan reception, benar-benar kurang sigap semua divisi di hotel ini. kekesalahan saya memuncak di malam hari ketika wifi hotel ini mendadak down, padahal saya harus mengirim email penting, saya minta bantuan operator untuk di panggilkan engineering kekamar saya. ahahahah, tidak ada yang standby juga. dan saya harus menunggu lama menunggu petugas hotel kekamar. hadeh rupanya tidak mau kalah sibuk sama tamunya nih para staff di hotel ini. okelah, paginya saya menikmati sarapan yang ala kadarnya. lumayan enak kok. semoga review saya ini bisa di jadikan input positif untuk progress kedepannya. makasih dafam atas layanannya. untungnya harga kamar hotel ini begitu terjangkau jadi ya saya mudah melupakan pengalaman menggemaskan saya ini.",Jln. Imam Bonjol 188,3.0 dari 5,3.5 dari 5 lingkaran,raffendie,167 Ulasan,2 dari 5 lingkaran, Hotel Dafam Semarang 
Semarang,"Semarang 50251, ",,https://www.tripadvisor.co.id/Hotel_Review-g297712-d7902530-Reviews-Favehotel_Diponegoro_Semarang-Semarang_Central_Java_Java.html,UID_3947C2985F807EA133DE983E79BFA6F3-SRC_369101921,Budget Hotel di dekat Simpang 5,lvl_06,"Bangunan Hotel ini relatif masih baru, mungkin sekitar 1 tahun. Harga yang cukup terjangkau dan Letaknya yang strategis sekitar 2 km dari simpang 5 (Pusat kota Semarang) menjadikan Hotel ini selalu ramai pengunjung. Tempat nya pun bersih, pelayanan ramah dan parkir luas serta yang menjadikan andalan dari Hotel ini adalah ketika Breakfast kita disuguhkan pemandangan view Semarang bawah. Cuman sayang kekurangan Hotel ini belum ada kolam renang nya.",Jl. Diponegoro no. 22,3.0 dari 5,3.5 dari 5 lingkaran,F4hmie,126 Ulasan,4 dari 5 lingkaran, favehotel Diponegoro Semarang 
Semarang,"Semarang 50251, ","Semarang, Indonesia",https://www.tripadvisor.co.id/Hotel_Review-g297712-d7902530-Reviews-Favehotel_Diponegoro_Semarang-Semarang_Central_Java_Java.html,UID_7A4432EC3DBA71FD16E5418495B6A6F4-SRC_369112206,Hotel dekat simpang lima,lvl_05,"Hotel ini lumayan dekat denga simpang lima, transportasi mudah dan restoran untuk makan pagi dengan view bagus dan sejuk.makanan lumayan.namun tidak ada kolam renang nya.tidak cocok membawa anak kecil karena ada jendela yg terbuka. Di dalam kamar pun jendela bisa di buka sehingga takut jika anak kecil bisa naik kursi dan buka jendela.karena anak saya 4 tahu sudah bisa buka jendela sendiri.hanya cocok untuk perjalanan bisnis hotel ini.",Jl. Diponegoro no. 22,3.0 dari 5,3.5 dari 5 lingkaran,eka121082,126 Ulasan,3 dari 5 lingkaran, favehotel Diponegoro Semarang 
Semarang,"Semarang 50251, ","Jakarta, Indonesia",https://www.tripadvisor.co.id/Hotel_Review-g297712-d7902530-Reviews-Favehotel_Diponegoro_Semarang-Semarang_Central_Java_Java.html,UID_3F952AED2FD1D4C09AABF200AA2A31B1-SRC_369865222,Fave semarang,lvl_02,"Menyenangkan saat menginap di fave handuknya wangi dan kamarnya bersih, petugas nya ramah2, saat check in dan check out cepat
Dekat dengan tempat kerja saya. Hotel budget memang nyaman harga yang ekonomis,",Jl. Diponegoro no. 22,3.0 dari 5,3.5 dari 5 lingkaran,Setiawan L,126 Ulasan,5 dari 5 lingkaran, favehotel Diponegoro Semarang 
Semarang,"Semarang 50251, ",Jakarta,https://www.tripadvisor.co.id/Hotel_Review-g297712-d7902530-Reviews-Favehotel_Diponegoro_Semarang-Semarang_Central_Java_Java.html,UID_BE4CBBD70B8BCAA7D88DFA04046859BF-SRC_370065836,Menginap yang menyenangkan,lvl_02,"pelayanannya bagus, bersih, dan yang jelas semuanya ramah-ramah. restonya juga enak. saat ada kesulitan, dibantu dengan sigap oleh pegawainya. tempat parkir juga selalu ada. dan selalu dibantu untuk menyeberang ataupun mengarahkan.",Jl. Diponegoro no. 22,3.0 dari 5,3.5 dari 5 lingkaran,aliyyil,126 Ulasan,4 dari 5 lingkaran, favehotel Diponegoro Semarang 
Semarang,"Semarang 50251, ",Bantul,https://www.tripadvisor.co.id/Hotel_Review-g297712-d7902530-Reviews-Favehotel_Diponegoro_Semarang-Semarang_Central_Java_Java.html,UID_60FAE306E56C529875751A427CE5DACA-SRC_371126056,Pelayanan yang sangat memuaskan,lvl_02,"Pelayanan yang diberikan mulai pada saat check in sangat baik, proses cek in dibantu dengan cepat , kamarnya pun bersih dan bisa tidur dengan nyenyak. Pada saat sarapan pagi , pilihannya makanannya pun bervariasi dengan rasa yang cukup enak , pelayan resto nya pun ramah . Saya sangat merekomendasikan hotel ini sebagai sarana akomodasi yang sangat baik",Jl. Diponegoro no. 22,3.0 dari 5,3.5 dari 5 lingkaran,Dwi S,126 Ulasan,5 dari 5 lingkaran, favehotel Diponegoro Semarang 
Semarang,"Semarang 50000, ","Semarang, Indonesia",https://www.tripadvisor.co.id/Hotel_Review-g297712-d7161708-Reviews-Aston_Semarang_Hotel_and_Convention_Center-Semarang_Central_Java_Java.html,UID_02DE6E8E760F59684CEC4D2F89F6FFBC-SRC_337722939,Hotel yang nyaman,lvl_04,"Kamarnya luas, bersih dan pelayanan cepat. Sayangnya kolam renang tidak terlalu besar dan alat2 gym tidak terlalu banyak pilihan. Untuk menu sarapan lumayan bervariasi dan rasanya juga lumayan. Lokasinya tidak terlalu jauh dengan pusat kota, namun jika musim hujan jalanan di depan hotel dan sekitarnya pasti banjir.","Jl. MT Haryono no.1, Sayangan",4.0 dari 5,4.0 dari 5 lingkaran,Andantya,83 Ulasan,4 dari 5 lingkaran, Aston Semarang Hotel and Convention Center 
Semarang,"Semarang 50232, ","Jakarta, Indonesia",https://www.tripadvisor.co.id/Hotel_Review-g297712-d5511170-Reviews-Oak_Tree_Emerald_Semarang_Hotel-Semarang_Central_Java_Java.html,UID_2345C6CB288903A27E330565B2009D68-SRC_382462409,"Lokasinya sulit dicari, tetapi suasana tenang",lvl_02,"Ketika kami tiba di malam hari kami kesulitan mencari lokasi nya, bahkan tidak ada di GPS, akhirnya setelah bertanya tanya baru kami menemukan lokasi tersebut hampir tengah malam. Lokasinya tenang untuk beristirahat namun menurut saya bukan kelas bintang 4. Bangunan terkesan kotor dan belum jadi tanpa cat. Kamar agak pengap sepertinya lama tidak dihuni. Makan pagi lumayan enak. Yang menarik hanya hawa dan suasana alam saja.","Jl. Palm – Papandayan, Gajahmungkur",4.0 dari 5,4.0 dari 5 lingkaran,Sari B,226 Ulasan,2 dari 5 lingkaran, Oak Tree Emerald Semarang Hotel 
Semarang,"Semarang 50134, ","Jakarta, Indonesia",https://www.tripadvisor.co.id/Hotel_Review-g297712-d5313767-Reviews-HOM_Hotel_Semarang-Semarang_Central_Java_Java.html,UID_03F7434705E079E65CE40D2C1DFDD5B3-SRC_381293257,Menyenangkan,lvl_04,"Kamar hotel bersih, rapih, serta pelayanannya memuaskan, tidak hanya itu kamar mandinya pun bersih. Makanan yang disajikan saat breakfast menarik dan beragam. Welcome drink&fruitnya juga fresh. Harga sangat bersahabat. Very recommended!",Jl. Pandanaran 119,3.5 dari 5,4.5 dari 5 lingkaran,sualmsih,355 Ulasan,5 dari 5 lingkaran, HOM Hotel Semarang 
Semarang,"Semarang 50138, ",,https://www.tripadvisor.co.id/Hotel_Review-g297712-d1797782-Reviews-Quest_Hotel_Semarang-Semarang_Central_Java_Java.html,UID_8F3A538FF6A936391C0F75154E379908-SRC_364143149,Hotel bintang 3 yang cukup nyaman,lvl_04,Hotel ini cukup baik fasilitasnya dan modern.Kami memilih tempat ini karena lokasinya dipusat kota dan cukup dekat kemana mana. Didepan hotel juga ada beberapa depot yang jualan.Dekat dengan tempat makan dan pasar juga.,Jln. Plampitan 37- 39,3.0 dari 5,4.0 dari 5 lingkaran,Lu W,309 Ulasan,3 dari 5 lingkaran, Quest Hotel Semarang 
Semarang,"Semarang 50132, ","Semarang, Indonesia",https://www.tripadvisor.co.id/Hotel_Review-g297712-d2035261-Reviews-Hotel_Dafam_Semarang-Semarang_Central_Java_Java.html,UID_DF2867A8FB852AC8DF096345FFC9FBC2-SRC_309143686,Butik hotel di pusat kota Semarang,lvl_03,"Interior dan exterior nya bagus! Kamar cukup luas walau wifi nya agak lemah jika di kamar. Sarapan sangat enak dengan menu sangat beragam, dari western dan lokal.
AC kamar menggunakan ac sentral jadi cukup susuah pengaturannya. Tempat gymnya sangat kecil, dengan alat yang minimalis, hanya 4 alat yang saya ingat.
Ada spa, tapi belum saya coba.
Very recommended hotel!",Jln. Imam Bonjol 188,3.0 dari 5,3.5 dari 5 lingkaran,alvaromano,167 Ulasan,5 dari 5 lingkaran, Hotel Dafam Semarang 
Semarang,"Semarang 50132, ","Jawa Barat, Indonesia",https://www.tripadvisor.co.id/Hotel_Review-g297712-d2035261-Reviews-Hotel_Dafam_Semarang-Semarang_Central_Java_Java.html,UID_4FFC9169E8F38230E4CED3A5E59349D3-SRC_309742966,Hotel Bintang 4 dekat Lawang Sewu ,lvl_02,"Hotel ini telah didaulat sebagai hotel bintang 4 sejak tahun 2014. Kamar nyaman, fasilitas sarapan berpareasi. Ke pusat kota dekat, cukup naek beca bisa jalan2 ke simpang lima, pusat oleh2. Bagi yang mau berwisata sejarah dari hotel ini deket ke lawang sewu. Namun ada sedikit yang kurang yaitu tidak ada kolam renang dan fitnes center. Semoga dapat segera diadakan, karena fasilitas itu penting, terutama bagi yang tinggal lama.",Jln. Imam Bonjol 188,3.0 dari 5,3.5 dari 5 lingkaran,Ade S,167 Ulasan,4 dari 5 lingkaran, Hotel Dafam Semarang 
